team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
PHI,MEM,227.5,-2.5,115.0,False,False,NORMAL,live
MEM,PHI,227.5,2.5,112.5,False,False,NORMAL,live
ATL,DAL,240.5,-8.5,124.5,False,False,FAST,live
DAL,ATL,240.5,8.5,116.0,False,False,FAST,live
MIA,WAS,242.5,-15.5,129.0,True,False,FAST,live
WAS,MIA,242.5,15.5,113.5,True,False,FAST,live
DET,BKN,217.5,-14.5,116.0,True,False,NORMAL,live
BKN,DET,217.5,14.5,101.5,True,False,NORMAL,live
HOU,TOR,217.5,-5.5,111.5,False,False,NORMAL,live
TOR,HOU,217.5,5.5,106.0,False,False,NORMAL,live
MIL,PHX,217.5,1.5,108.0,False,False,NORMAL,live
PHX,MIL,217.5,-1.5,109.5,False,False,NORMAL,live
BOS,SAS,222.5,3.5,109.5,False,False,NORMAL,live
SAS,BOS,222.5,-3.5,113.0,False,False,NORMAL,live
CHA,POR,228.5,-2.5,115.5,False,False,FAST,live
POR,CHA,228.5,2.5,113.0,False,False,FAST,live
CHI,GSW,227.5,6.5,110.5,False,False,NORMAL,live
GSW,CHI,227.5,-6.5,117.0,False,False,NORMAL,live
IND,SAC,236.5,3.5,116.5,False,False,FAST,live
SAC,IND,236.5,-3.5,120.0,False,False,FAST,live
LAL,MIN,233.5,2.5,115.5,False,False,FAST,live
MIN,LAL,233.5,-2.5,118.0,False,False,FAST,live
PHI/MEM,,227.5,-2.5,115.0,False,False,NORMAL,live
ATL/DAL,,240.5,-8.5,124.5,False,False,FAST,live
MIA/WAS,,242.5,-15.5,129.0,True,False,FAST,live
BKN/DET,,217.5,14.5,101.5,True,False,NORMAL,live
HOU/TOR,,217.5,-5.5,111.5,False,False,NORMAL,live
MIL/PHX,,217.5,1.5,108.0,False,False,NORMAL,live
SAS/BOS,,222.5,-3.5,113.0,False,False,NORMAL,live
POR/CHA,,228.5,2.5,113.0,False,False,FAST,live
GSW/CHI,,227.5,-6.5,117.0,False,False,NORMAL,live
SAC/IND,,236.5,-3.5,120.0,False,False,FAST,live
LAL/MIN,,233.5,2.5,115.5,False,False,FAST,live
