player,team,prop_norm,line,nba_player_id,player_1,player_2,team_1,team_2,is_combo_player
Tristan Silva,ORL,pr,19.5,,,,,,0
Tristan Silva,ORL,pra,17.5,,,,,,0
Tristan Silva,ORL,pra,15.5,,,,,,0
Tristan Silva,ORL,pts,14.5,,,,,,0
Tristan Silva,ORL,pr,14.5,,,,,,0
Tristan Silva,ORL,pra,13.5,,,,,,0
Tristan Silva,ORL,pra,12.5,,,,,,0
Tristan Silva,ORL,pts,11.5,,,,,,0
Tristan Silva,ORL,pr,11.5,,,,,,0
Tristan Silva,ORL,pts,9.5,,,,,,0
Tristan Silva,ORL,pr,9.5,,,,,,0
Tristan Silva,ORL,pra,9.5,,,,,,0
Tristan Silva,ORL,pa,8.5,,,,,,0
Tristan Silva,ORL,pts,7.5,,,,,,0
Tristan Silva,ORL,ra,7.5,,,,,,0
Tristan Silva,ORL,reb,6.5,,,,,,0
Tristan Silva,ORL,pts,6.5,,,,,,0
Tristan Silva,ORL,ra,6.5,,,,,,0
Tristan Silva,ORL,reb,5.5,,,,,,0
Tristan Silva,ORL,pts,5.5,,,,,,0
Tristan Silva,ORL,ra,5.5,,,,,,0
Tristan Silva,ORL,reb,4.5,,,,,,0
Tristan Silva,ORL,ra,4.5,,,,,,0
Tristan Silva,ORL,ra,3.5,,,,,,0
Tristan Silva,ORL,3ptmade,2.5,,,,,,0
Tristan Silva,ORL,reb,2.5,,,,,,0
Tristan Silva,ORL,ast,2.5,,,,,,0
Tristan Silva,ORL,3ptmade,1.5,,,,,,0
Tristan Silva,ORL,ast,1.5,,,,,,0
Tristan Silva,ORL,stl,1.5,,,,,,0
Tristan Silva,ORL,3ptmade,0.5,,,,,,0
Tristan Silva,ORL,stocks,0.5,,,,,,0
Tristan Silva,ORL,blk,0.5,,,,,,0
Tristan Silva,ORL,ast,0.5,,,,,,0
